incident_energy,raw_xas,cleaned_xas
2491.10117225129,5013,4958
2491.201097182857,5052,5003
2491.3014534083995,4996,4949
2491.401408098514,5010,4965
2491.5011693551564,5115,5077
2491.6011537203535,5081,5036
2491.701361289288,4911,4865
2491.801167022632,5100,5064
2491.9009875553093,5014,4967
2492.001448209783,4974,4935
2492.1012984408244,4977,4938
2492.201371980183,5056,5011
2492.3012518571095,4958,4923
2492.4011465450126,4923,4874
2492.501473235945,4988,4940
2492.6013976146473,4955,4909
2492.7011281545506,5211,5165
2492.8012908282826,5221,5173
2492.901259667873,5148,5105
2493.0012433324173,5033,4991
2493.101450604875,5091,5044
2493.206266641733,5029,4986
2493.3017009842547,5092,5042
2493.4013262867356,5176,5118
2493.5053533076994,5118,5063
2493.601665709708,5065,5015
2493.701335312296,5248,5199
2493.805408591087,5266,5213
2493.9013457641076,4995,4946
2494.0016868037524,5196,5149
2494.101415485059,5211,5156
2494.20534133094,5200,5141
2494.3013353416063,5187,5133
2494.401108279095,5199,5148
2494.5011051666356,5258,5215
2494.601326099431,5227,5181
2494.7011433448433,5229,5177
2494.8011846401596,5170,5116
2494.90145008063,5210,5173
2495.00110228601,5216,5151
2495.1062135926786,5168,5123
2495.2014979171013,5293,5249
2495.3014038100714,5239,5185
2495.401324459975,5367,5325
2495.501469392824,5346,5303
2495.6014195944836,5276,5223
2495.7011749744192,5335,5276
2495.8013642917576,5287,5240
2495.9013587920053,5399,5340
2496.0013680630814,5437,5386
2496.101392107304,5348,5291
2496.2014309269894,5335,5280
2496.3016942959516,5438,5385
2496.4013430996097,5575,5526
2496.5014262286054,5354,5309
2496.601314277995,5371,5325
2496.7012170525,5337,5281
2496.8011345544273,5539,5486
2496.901486700488,5421,5362
2497.0014337260864,5480,5438
2497.1009754478164,5349,5290
2497.206203153036,5431,5368
2497.3011531371712,5488,5438
2497.40115908307,5430,5381
2497.501179772558,5432,5377
2497.601215207944,5605,5545
2497.70126539154,5474,5419
2497.801120089746,5444,5393
2497.901199745703,5544,5481
2498.001504454712,5585,5520
2498.1011929965093,5607,5552
2498.201106534031,5522,5462
2498.3071361297325,5683,5623
2498.4013985551856,5565,5507
2498.5011458091494,5637,5576
2498.6011181919025,5498,5435
2498.701105283981,5502,5447
2498.801107087689,5641,5581
2498.905966883916,5509,5451
2499.0011548392063,5606,5546
2499.106045495589,5581,5530
2499.201261464886,5769,5709
2499.3011261607885,5702,5622
2499.4012162516565,5648,5590
2499.501321070284,5567,5510
2499.601440618979,5769,5710
2499.7011532511333,5636,5572
2499.8015130602857,5741,5685
2499.9012550091165,5672,5615
2500.0012224906854,5743,5673
